Opponent,opp_adj
BKN,-0.06806757290005176
BOS,-0.204376681356621
CHA,-0.07982653565102657
CHI,-0.17409425533052392
CLE,-0.08245583504167112
DAL,-0.09997478241717497
DEN,-0.11549011182871376
DET,-0.020453017393801596
GSW,-0.007883614802073068
HOU,-0.07403251674238866
IND,-0.03147746025549733
LAC,-0.048045685275710334
LAL,-0.10863050904043577
MEM,-0.06415464093871219
MIA,-0.12796204287381605
MIL,-0.13074914588163972
MIN,-0.07487346878941151
NOP,-0.08718637902457377
NYK,-0.05996092157020652
OKC,0.03922132931851086
ORL,0.02340880537670465
PHI,-0.0188453199332146
PHX,-0.17454488480791008
POR,0.0082188604879297
SAC,-0.08017371747216923
SAS,-0.10078519829434875
TOR,-0.02343892704364023
UTA,-0.16135788860529318
WAS,-0.10840414667696498
