Player,rate_per_min
AJ Green,0.09458750014975913
AJ Johnson,0.04812649003467342
Aaron Gordon,0.05403587339122684
Aaron Holiday,0.10180979970799725
Aaron Nesmith,0.08404472134211408
Aaron Wiggins,0.08661489012524093
Ace Bailey,0.047189962508849645
Adem Bona,0.0010561287670033275
Ajay Mitchell,0.051941162665565754
Al Horford,0.06820348893380263
Alex Caruso,0.06779267855804512
Alexandre Sarr,0.05392610123081925
Alperen Sengun,0.02271779784465224
Amen Thompson,0.01930347340334383
Amir Coffey,0.051271094398924105
Andre Drummond,0.004485719157733081
Andre Jackson Jr.,0.049925249078446615
Andrew Nembhard,0.042788669729335045
Andrew Wiggins,0.06253620488497978
Anfernee Simons,0.10024568321552943
Anthony Black,0.03614095932131902
Anthony Davis,0.02976486387232674
Anthony Edwards,0.10286771900176231
Anthony Gill,0.05237466427640822
Ariel Hukporti,0.0008680978756914434
Asa Newell,0.05486105354895104
Ausar Thompson,0.012522298359284539
Austin Reaves,0.08562273209138511
Ayo Dosunmu,0.057229631219563745
Bam Adebayo,0.040968917698408304
Baylor Scheierman,0.06587992350039765
Ben Saraf,0.030898066723623864
Ben Sheppard,0.05922206346688797
Bennedict Mathurin,0.05326551235975351
Bilal Coulibaly,0.044868297839162345
Bismack Biyombo,0.0025337326944399195
Blake Wesley,0.03384974981977474
Bobby Portis,0.05354507211333235
Bogdan Bogdanovic,0.07910288456280856
Bones Hyland,0.09648188006001143
Bradley Beal,0.052659354019050836
Branden Carlson,0.0942857615482791
Brandin Podziemski,0.0701947131903928
Brandon Ingram,0.05112081216087413
Brandon Miller,0.0921437882977389
Brandon Williams,0.048204146829784876
Brice Sensabaugh,0.11195334179799876
Bronny James Jr.,0.04594765890378391
Brook Lopez,0.0703705374269912
Brooks Barnhizer,0.040525295561228664
Bruce Brown,0.029963816383634115
Bryce McGowens,0.04628581697914458
Bub Carrington,0.05846666516741078
Buddy Hield,0.11001979688318267
CJ McCollum,0.08324601802049447
Cade Cunningham,0.06306280301655735
Caleb Love,0.07487583143940958
Caleb Martin,0.034413372496355385
Cam Christie,0.0726444391399699
Cam Spencer,0.07583538244924667
Cam Thomas,0.08476086077324506
Cam Whitmore,0.07042180232772112
Cameron Johnson,0.08229945717748575
Caris LeVert,0.06597550499957669
Carter Bryant,0.05281151598040381
Cason Wallace,0.05034008609751641
Cedric Coward,0.054275073013108265
Charles Bassey,0.005895818411451409
Chaz Lanier,0.09276436252900949
Chet Holmgren,0.05778654372403952
Chris Boucher,0.06349762294775183
Chris Manon,0.06654591974139973
Chris Paul,0.06333641515621963
Chris Youngblood,0.0960504520832167
Christian Braun,0.03348043347294611
Christian Koloko,0.008153550836757688
Clint Capela,0.003009478020376137
Cody Williams,0.04332231280674067
Cole Anthony,0.06054259306281547
Collin Gillespie,0.08807098146910654
Collin Murray-Boyles,0.038639302749011006
Collin Sexton,0.054741849758133884
Cooper Flagg,0.038717936420324804
Corey Kispert,0.07521973638169797
Craig Porter Jr.,0.0411904069503279
DAngelo Russell,0.08597236807734746
DaRon Holmes II,0.021554760590256437
Daeqwon Plowden,0.03158082098676755
Dalen Terry,0.04691701468240718
Dalton Knecht,0.10359011345848561
Daniel Gafford,0.0028297612281163232
Daniss Jenkins,0.08349791671222777
Danny Wolf,0.03577224165447274
Dario Saric,0.04756079396664794
David Jones-Garcia,0.06638965288927472
Davion Mitchell,0.04447395029713158
DayRon Sharpe,0.013475896600142723
DeAndre Hunter,0.09168936704216751
DeAndre Jordan,0.0004599893099710779
DeMar DeRozan,0.027943372368680483
Dean Wade,0.07326152168833844
Deandre Ayton,0.005716135641192748
Deni Avdija,0.06527075935969404
Dennis Schroder,0.05273716970786102
Dereck Lively II,-0.0003120182795932857
Derik Queen,0.010266453663092258
Derrick Jones Jr.,0.04639612109818117
Derrick White,0.11324109357915729
Desmond Bane,0.0745293966539861
Devin Booker,0.07074976133245722
Devin Carter,0.04203101104995272
Devin Vassell,0.07828070769969957
Dillon Brooks,0.08160748503317602
Domantas Sabonis,0.02344003257130041
Dominick Barlow,0.016719961280212994
Donovan Clingan,0.016783465140494794
Donovan Mitchell,0.10449049907931751
Donte DiVincenzo,0.11472732994963468
Doug McDermott,0.07214408286798837
Drake Powell,0.035548217994981667
Draymond Green,0.044148676560086794
Drew Eubanks,0.0019231015496044201
Dru Smith,0.04853241663040171
Duncan Robinson,0.09960481424065981
Duop Reath,0.08250891223967056
Dwight Powell,0.005979406942118544
Dylan Cardwell,0.027092726410978034
Dylan Harper,0.04336924822720814
Dyson Daniels,0.028140895622626005
EJ Liddell,0.06357775482551607
Egor Demin,0.058741901430481386
Elijah Harkless,0.027932856354153397
Eric Gordon,0.06634484832998346
Evan Mobley,0.05176180741772891
Franz Wagner,0.052971231049793704
GG Jackson II,0.07336953218931527
Gabe Vincent,0.0731563531048868
Gary Payton II,0.043027338207086076
Gary Trent Jr.,0.09867831967601066
Giannis Antetokounmpo,0.014007764401188528
Goga Bitadze,0.006343865428586154
Gradey Dick,0.06655507831836582
Grayson Allen,0.10201233669770104
Guerschon Yabusele,0.05244794095168649
Gui Santos,0.052148869472782855
Harrison Barnes,0.05951539732121338
Harrison Ingram,0.041472827682272756
Herbert Jones,0.04489008217646576
Hugo Gonzalez,0.03734796461137525
Hunter Dickinson,0.005071157351539993
Hunter Tyson,0.034771044379494694
Immanuel Quickley,0.08039818679880154
Isaac Jones,0.007007944363984383
Isaac Okoro,0.05027188113002217
Isaiah Collier,0.02762009555673516
Isaiah Hartenstein,0.00451298233103165
Isaiah Jackson,0.0018616480408206375
Isaiah Joe,0.11699515211891769
Isaiah Livers,0.0702953474277143
Isaiah Stewart,0.02474491459324134
Ivica Zubac,-5.244229504906885e-05
JD Davison,0.08270958390054695
Ja Morant,0.057875131147651575
JaKobe Walter,0.0648447812651099
Jabari Smith Jr.,0.06422278120711562
Jabari Walker,0.031006706793199966
Jaden Hardy,0.09450301139105297
Jaden McDaniels,0.04278287040411551
JaeSean Tate,0.04492636965437762
Jahmir Young,0.020071157351540053
Jahmyl Telfort,-0.009463832039572401
Jaime Jaquez Jr.,0.027767296650179758
Jake LaRavia,0.05382677185800538
Jakob Poeltl,-0.0002239529265818117
Jalen Brunson,0.07216688724000388
Jalen Duren,0.0014678751947786858
Jalen Green,0.08654797248943513
Jalen Johnson,0.03416497064605494
Jalen Pickett,0.03493537450245456
Jalen Smith,0.08216052695619597
Jalen Suggs,0.06792312083767592
Jalen Wilson,0.06395791431187582
Jamal Murray,0.07563648002819819
Jamal Shead,0.05215553484439559
James Harden,0.08502970481409372
James Wiseman,0.013329090969383789
Jamison Battle,0.0821126505904858
Jarace Walker,0.07528899253824582
Jared McCain,0.07235875922666793
Jaren Jackson Jr.,0.0668016086881152
Jarred Vanderbilt,0.018585333099227507
Jarrett Allen,0.002616767201536066
Jase Richardson,0.03268646472593043
