Player,Position,Team,Opponent,Minutes,Points,Assists,Rebounds,Three Pointers Made,Turnovers,Steals,Blocks,PRA,Scenario,PlayerID
Trae Young,PG,ATL,BKN,34.0,23.9,10.3,2.8,2.71,3.91,1.16,0.16,37.0,Default,20001989
Keaton Wallace,PG,ATL,BKN,7.0,2.3,1.0,0.6,0.41,0.44,0.24,0.09,3.9,Default,20002757
Vit Krejci,SG,ATL,BKN,2.5,0.9,0.3,0.3,0.19,0.11,0.08,0.04,1.4,Default,20002562
Dyson Daniels,SG,ATL,BKN,31.0,11.0,3.8,5.6,0.77,1.71,2.17,0.48,20.4,Default,20002878
Nickeil Alexander-Walker,SG,ATL,BKN,26.5,13.8,2.9,3.0,2.23,1.44,0.84,0.48,19.7,Default,20002285
Luke Kennard,SG,ATL,BKN,21.5,7.6,2.3,2.3,1.48,1.07,0.6,0.09,12.3,Default,20001840
Zaccharie Risacher,SF,ATL,BKN,21.5,11.3,1.1,3.0,1.58,0.9,0.6,0.39,15.4,Default,20003213
Jalen Johnson,PF,ATL,BKN,34.0,17.9,4.2,8.6,0.82,2.44,1.34,0.82,30.6,Default,20002657
Mouhamed Gueye,PF,ATL,BKN,9.0,3.5,0.5,2.1,0.42,0.35,0.34,0.52,6.1,Default,20003015
Kristaps Porzingis,C,ATL,BKN,26.5,17.5,2.0,6.6,1.88,1.44,0.67,1.46,26.1,Default,20001406
Onyeka Okongwu,C,ATL,BKN,26.5,13.1,2.0,7.9,0.66,1.12,0.8,1.19,23.0,Default,20002531
Egor Demin,PG,BKN,ATL,21.5,8.4,4.0,3.6,1.43,2.26,0.65,0.28,16.0,Default,20003455
Ben Saraf,SG,BKN,ATL,20.0,6.4,3.1,2.5,0.67,1.44,0.62,0.13,12.0,Default,20003475
Nolan Traore,PG,BKN,ATL,5.0,1.8,0.8,0.4,0.28,0.43,0.1,0.04,3.0,Default,20003473
Tyrese Martin,SF,BKN,ATL,18.0,7.8,2.2,2.8,1.49,1.05,0.56,0.1,12.9,Default,20002930
Cam Thomas,SG,BKN,ATL,31.0,24.3,4.4,3.3,2.56,2.58,0.72,0.17,32.1,Default,20002658
Drake Powell,SG,BKN,ATL,9.0,2.8,0.5,1.2,0.34,0.38,0.34,0.12,4.5,Default,20003467
Terance Mann,SF,BKN,ATL,24.0,10.2,2.2,3.4,1.39,0.86,0.82,0.23,15.8,Default,20002312
Jalen Wilson,PF,BKN,ATL,13.5,5.5,1.2,1.7,0.91,0.57,0.33,0.06,8.3,Default,20003084
Michael Porter Jr.,SF,BKN,ATL,31.0,19.7,2.9,6.0,2.87,1.34,0.7,0.42,28.7,Default,20001988
Noah Clowney,PF,BKN,ATL,20.0,7.8,1.1,3.8,1.54,0.97,0.53,0.34,12.7,Default,20003046
Danny Wolf,PF,BKN,ATL,3.0,1.4,0.3,0.9,0.11,0.33,0.08,0.13,2.6,Default,20003458
Nicolas Claxton,C,BKN,ATL,27.0,11.4,2.4,7.2,0.04,1.43,0.9,1.35,21.0,Default,20002292
DayRon Sharpe,C,BKN,ATL,17.0,7.1,1.7,5.7,0.23,1.29,0.74,0.75,14.5,Default,20002697
Payton Pritchard,PG,BOS,CLE,34.5,16.3,4.9,5.0,3.08,1.3,0.98,0.16,26.1,Default (Hedging Starters),20002551
Anfernee Simons,SG,BOS,CLE,28.0,14.9,3.4,2.7,2.72,1.48,0.57,0.1,20.9,Default (Hedging Starters),20002007
Derrick White,SG,BOS,CLE,34.5,19.2,6.1,4.4,3.75,1.56,0.98,0.82,29.6,Default (Hedging Starters),20001856
Jaylen Brown,SF,BOS,CLE,34.5,24.2,5.0,6.2,2.07,2.83,1.03,0.29,35.4,Default (Hedging Starters),20001672
Hugo Gonzalez,SF,BOS,CLE,8.0,2.1,0.4,1.0,0.19,0.28,0.27,0.12,3.5,Default (Hedging Starters),20003474
Baylor Scheierman,SG,BOS,CLE,4.5,1.2,0.4,0.7,0.29,0.13,0.14,0.03,2.3,Default (Hedging Starters),20003208
Sam Hauser,SF,BOS,CLE,24.5,9.7,1.1,3.6,2.85,0.48,0.64,0.24,14.4,Default (Hedging Starters),20002686
Josh Minott,SF,BOS,CLE,18.5,6.8,1.3,3.8,0.71,0.67,0.96,0.62,12.0,Default (Hedging Starters),20002913
Chris Boucher,PF,BOS,CLE,7.0,3.0,0.3,2.0,0.39,0.25,0.2,0.22,5.3,Default (Hedging Starters),20001886
