,Points,Assists,Rebounds,Three Pointers Made,Turnovers,Steals,Blocks,PRA
AJ Green,9.11,1.8,2.69,2.5829999999999997,0.675,0.5700000000000001,0.124,13.59
AJ Johnson,0.5714285714285714,0.15714285714285717,0.17142857142857146,0.06999999999999999,0.08714285714285715,0.03571428571428571,0.011428571428571429,0.9142857142857144
Aaron Gordon,16.522222222222226,2.966666666666667,5.522222222222222,1.818888888888889,1.4566666666666666,0.7,0.44,25.033333333333335
Aaron Holiday,1.6111111111111112,0.3888888888888889,0.3111111111111111,0.34,0.17,0.11777777777777779,0.035555555555555556,2.322222222222222
Aaron Nesmith,15.875,1.8,4.8125,2.74375,1.16625,0.99,0.5487500000000001,22.4375
Aaron Wiggins,14.0625,1.9625,4.1875,2.2375,1.07,0.885,0.3025,20.2125
Ace Bailey,8.709999999999999,1.29,3.6799999999999997,0.875,1.41,0.519,0.485,13.680000000000001
Adem Bona,5.355555555555556,0.5444444444444445,4.555555555555555,0.01,0.9011111111111111,0.5155555555555555,1.1544444444444446,10.477777777777778
Adou Thiero,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ajay Mitchell,13.536363636363637,3.0454545454545454,3.1,1.2845454545454547,1.299090909090909,1.0327272727272727,0.19636363636363638,19.672727272727272
Al Horford,7.1375,1.7875,4.675,1.4775,0.65125,0.4725,0.55875,13.625
Alex Caruso,7.685714285714285,2.5714285714285716,2.8000000000000003,1.4142857142857144,0.8657142857142858,1.5971428571428572,0.5757142857142857,13.057142857142859
Alex Toohey,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alexandre Sarr,14.811111111111112,3.111111111111111,7.6000000000000005,1.41,2.048888888888889,0.7,1.501111111111111,25.51111111111111
Alperen Sengun,20.51111111111111,6.188888888888889,8.933333333333334,0.7666666666666667,2.6844444444444444,1.151111111111111,0.7744444444444444,35.666666666666664
Amen Thompson,16.477777777777774,5.933333333333334,6.7444444444444445,0.62,2.2,1.6355555555555557,1.0777777777777777,29.17777777777778
Amir Coffey,3.47,0.5599999999999999,0.9800000000000001,0.479,0.263,0.23700000000000002,0.075,5.0200000000000005
Andre Drummond,5.5875,0.6875,6.9375,0.0825,1.035,0.75125,0.49625,13.1875
Andre Jackson Jr.,0.25,0.1,0.15,0.03,0.04,0.03,0.01,0.45
Andrew Nembhard,16.03333333333333,6.666666666666667,3.266666666666667,1.7966666666666666,2.22,1.09,0.14333333333333334,25.900000000000002
Andrew Wiggins,18.325,2.7625,4.6875,2.09,1.9012499999999999,1.0625,0.715,25.75
Anfernee Simons,14.708333333333334,3.2416666666666667,2.4,2.688333333333333,1.4308333333333332,0.6075,0.105,20.349999999999998
Anthony Black,9.80909090909091,2.481818181818182,3.0454545454545454,0.9527272727272728,1.6427272727272728,1.0999999999999999,0.5481818181818182,15.327272727272726
Anthony Davis,24.759999999999998,3.44,11.0,1.016,2.226,1.1960000000000002,1.864,39.22
Anthony Edwards,27.433333333333334,4.7,5.083333333333333,3.645,2.6783333333333332,1.2016666666666667,0.5916666666666667,37.21666666666667
Anthony Gill,0.375,0.1,0.2,0.03,0.04,0.02,0.01,0.625
Ariel Hukporti,1.3875,0.375,1.75,0.00375,0.46625000000000005,0.1275,0.33375,3.5
Asa Newell,0.35714285714285715,0.028571428571428574,0.2285714285714286,0.04285714285714286,0.042857142857142864,0.022857142857142857,0.02428571428571429,0.6142857142857142
Ausar Thompson,13.636363636363637,3.2,6.454545454545454,0.36272727272727273,1.7381818181818183,1.8327272727272728,0.9509090909090908,23.29090909090909
Austin Reaves,25.03333333333333,6.866666666666667,4.766666666666667,3.0933333333333337,3.223333333333333,1.075,0.34,36.61666666666667
Ayo Dosunmu,12.475,3.3,2.6875,1.5075,1.4075,0.84375,0.2925,18.45
Bam Adebayo,19.95,3.6999999999999997,9.533333333333333,1.4100000000000001,2.13,1.1916666666666667,0.7033333333333333,33.18333333333333
Baylor Scheierman,1.4090909090909092,0.4272727272727273,0.9636363636363636,0.3336363636363636,0.15636363636363637,0.17727272727272728,0.045454545454545456,2.7636363636363637
Ben Saraf,5.071428571428571,2.3714285714285714,2.1285714285714286,0.5057142857142857,1.0742857142857143,0.5614285714285714,0.09999999999999999,9.542857142857143
Ben Sheppard,8.588888888888889,2.3555555555555556,4.066666666666666,1.4533333333333334,0.8044444444444445,0.8422222222222222,0.24444444444444446,15.0
Bennedict Mathurin,20.7,3.0,5.85,1.75,2.4850000000000003,0.845,0.345,29.65
Bilal Coulibaly,10.85,2.8,4.125,1.1675,1.6524999999999999,0.87,0.5275,17.75
Bismack Biyombo,2.3,0.62,2.28,0.0,0.358,0.186,0.454,5.2
Blake Wesley,5.68,2.56,1.6199999999999999,0.55,1.152,0.732,0.152,9.879999999999999
Bobby Portis,10.36,1.52,6.04,1.1019999999999999,0.9109999999999999,0.52,0.363,17.919999999999998
Bobi Klintman,3.05,0.65,1.55,0.3425,0.375,0.2575,0.1825,5.275
Bogdan Bogdanovic,5.4,1.4875,1.4,1.0125000000000002,0.6625,0.41000000000000003,0.10250000000000001,8.3
Bones Hyland,4.088888888888889,1.2555555555555555,0.8333333333333334,0.7722222222222223,0.6322222222222221,0.3611111111111111,0.10222222222222223,6.166666666666667
Bradley Beal,12.216666666666667,2.85,2.433333333333333,1.3433333333333335,1.415,0.8016666666666667,0.30833333333333335,17.516666666666666
Branden Carlson,1.3900000000000001,0.2,0.75,0.302,0.139,0.10300000000000001,0.21000000000000002,2.37
Brandin Podziemski,12.025,3.1999999999999997,5.075,1.9283333333333335,1.29,0.9841666666666667,0.18916666666666668,20.3
Brandon Ingram,20.175,4.1875,5.375,1.64125,2.6725,0.81875,0.525,29.7375
Brandon Miller,19.25,3.45,4.449999999999999,3.105,2.035,0.9,0.6000000000000001,27.15
Brandon Williams,5.922222222222222,1.6111111111111112,1.2666666666666666,0.5244444444444444,0.8088888888888889,0.44333333333333336,0.10333333333333333,8.766666666666667
Brice Sensabaugh,7.92,1.23,2.08,1.5779999999999998,0.9269999999999999,0.42000000000000004,0.098,11.23
Bronny James Jr.,3.25,1.3666666666666665,1.0166666666666668,0.445,0.7833333333333333,0.48,0.14833333333333334,5.666666666666667
Brook Lopez,7.3125,0.8250000000000001,2.75,1.21625,0.5575,0.30375,0.87625,10.8625
Brooks Barnhizer,1.4272727272727272,0.35454545454545455,1.0999999999999999,0.2009090909090909,0.22727272727272727,0.24454545454545454,0.1318181818181818,2.8727272727272726
